,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
0,3,1.0,1180,5650.0,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650.0,221900
1,3,2.25,2570,7242.0,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639.0,538000
2,2,1.0,770,10000.0,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062.0,180000
3,4,3.0,1960,5000.0,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000.0,604000
4,3,2.0,1680,8080.0,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503.0,510000
6,3,2.25,1715,6819.0,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819.0,257500
7,3,1.5,1060,9711.0,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711.0,291850
8,3,1.0,1780,7470.0,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113.0,229500
9,3,2.5,1890,6560.0,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570.0,323000
10,3,2.5,3560,9796.0,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925.0,662500
11,2,1.0,1160,6000.0,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000.0,468000
13,3,1.75,1370,9680.0,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208.0,400000
14,5,2.0,1810,4850.0,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850.0,530000
15,4,3.0,2950,5000.0,2.0,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000.0,650000
16,3,2.0,1890,14040.0,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018.0,395000
17,4,1.0,1600,4300.0,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300.0,485000
18,2,1.0,1200,9850.0,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095.0,189000
19,3,1.0,1250,9774.0,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850.0,230000
20,4,1.75,1620,4980.0,1.0,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980.0,385000
22,5,2.5,2270,6300.0,2.0,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005.0,285000
23,2,1.5,1070,9643.0,1.0,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386.0,252700
24,3,2.25,2450,6500.0,2.0,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865.0,329000
25,3,2.0,1710,4697.0,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705.0,233000
26,3,1.75,2450,2691.0,2.0,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573.0,937000
27,3,1.0,1400,1581.0,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861.0,667000
